Feature,Abs_Correlation,MI_Score,ElasticNet_Importance,LightGBM_Importance,Corr_Rank,MI_Rank,Enet_Rank,LGB_Rank,Average_Rank
M18,0.011885433548284769,0.039296405482600605,0.0,0.06189377577538835,35.0,33.0,55.5,68.0,47.875
I3,0.004403605758792841,0.03351220056875093,0.0,0.12549286704597762,65.0,44.0,55.5,27.0,47.875
E2,0.0021771005078511127,0.061716365391018435,0.0,0.0860802767710993,80.0,6.0,55.5,57.0,49.625
V10,0.019336752062563738,0.03993472758504879,0.0,0.0128975689294748,25.0,32.0,55.5,86.0,49.625
V6,0.010263801780229521,0.03872412377424084,0.0,0.05662919981114101,40.0,35.0,55.5,70.0,50.125
M15,0.004324497348146458,0.023626005085652935,0.0,0.14784623483137693,66.0,57.0,55.5,24.0,50.625
D8,0.025178795605919055,0.0,8.263892611644947e-05,0.007119180903828237,13.0,92.0,8.0,90.0,50.75
I9,0.004295423948275812,0.050096553247403364,0.0,0.05465716993785463,67.0,11.0,55.5,71.0,51.125
D2,0.03420672229780791,0.0,3.4897573636577e-07,0.006310338038019836,5.5,92.0,16.0,91.0,51.125
E16,0.0058411195351801915,0.0440424804856443,0.0,0.06883957258833107,58.0,26.0,55.5,65.0,51.125
E10,0.002440211330971342,0.04695752386120766,0.0,0.08430778659385396,77.0,16.0,55.5,58.0,51.625
E8,0.0016549595848240279,0.04384008897199454,0.0,0.10297669955616584,85.0,28.0,55.5,41.0,52.375
P4,0.002987771016024001,0.014776581612891526,0.0,0.25221076749585336,74.0,72.0,55.5,8.0,52.375
I8,0.002673925629254763,0.029048413567259068,0.0,0.11212330008856952,75.0,49.0,55.5,33.0,53.125
V12,0.009294056527653341,0.033646713643368464,0.0,0.04076904999965336,41.0,43.0,55.5,75.0,53.625
M7,0.006549912908427245,0.023746788747286196,0.0,0.0897926340403501,52.0,56.0,55.5,52.0,53.875
E20,0.001612633462382915,0.05468902752910321,0.0,0.0652164503117092,86.0,9.0,55.5,66.0,54.125
P13,0.004129516075044318,0.008967629036014557,0.0,0.21659169370104792,70.0,81.0,55.5,11.0,54.375
D4,0.0167464906322373,0.002578992349532072,2.8290768827690627e-05,0.004197020803985652,27.0,86.0,13.0,93.0,54.75
I4,0.002130874642296181,0.04511120299374838,0.0,0.07341891494434094,81.0,22.0,55.5,63.0,55.375
I5,0.004193535858675409,0.04443319053170036,0.0,0.04730161379848141,69.0,24.0,55.5,74.0,55.625
I6,0.005436811277805737,0.02081129962288575,0.0,0.10388111673819367,62.0,66.0,55.5,40.0,55.875
M6,0.008906935971805556,0.01339843858059897,0.0,0.09198563051904785,43.0,77.0,55.5,49.0,56.125
S1,0.0046038189003207945,0.026264537601480953,0.0,0.08767393760354025,64.0,53.0,55.5,54.0,56.625
E15,0.005090145790790808,0.034697580440167464,0.0,0.0630256538206595,63.0,41.0,55.5,67.0,56.625
E5,0.006916435248820396,0.026987560582544035,0.0,0.052149576775263995,49.0,51.0,55.5,72.0,56.875
V3,0.0022995319074403573,0.011658358815606285,0.0,0.18305832889018347,78.0,79.0,55.5,16.0,57.125
M5,0.005585524351802406,0.03490823334648141,0.0,0.051358244905713946,60.0,40.0,55.5,73.0,57.125
M9,0.001161454055655701,0.022160990380390544,0.0,0.13536581384687452,88.0,61.0,55.5,26.0,57.625
S3,0.011312809848643468,0.021716041676817177,0.0,0.031051700141688343,37.0,64.0,55.5,76.0,58.125
V2,0.001864931172641506,0.01905229803301367,0.0,0.1242539545200998,83.0,67.0,55.5,28.0,58.375
V8,0.004067838938957921,0.04166743732919986,0.0,0.0299732920320821,72.0,31.0,55.5,77.0,58.875
M13,0.008846018312569943,0.026909144664081452,0.0,0.014690729876747355,45.0,52.0,55.5,85.0,59.375
S4,0.0010874435494418082,0.021318361849281153,0.0,0.11689282314182492,89.0,65.0,55.5,29.0,59.625
E4,0.006319493048814223,0.001177858940201837,0.0,0.10209289639169583,53.0,88.0,55.5,43.0,59.875
E13,0.008756664702505603,0.012568081924648311,0.0,0.08124106931791175,46.0,78.0,55.5,60.0,59.875
S10,0.00255957618266682,0.015401749485264737,0.0,0.10393593209300889,76.0,71.0,55.5,38.0,60.125
V1,0.0010580748596142222,0.047578244464504316,0.0,0.019842457950289827,90.0,14.0,55.5,81.0,60.125
E7,0.015969647626567243,0.005464239630072143,0.0,0.029766985091555398,29.0,83.0,55.5,78.0,61.375
S11,0.0003459328540011674,0.022155004821232005,0.0,0.10886780178407207,93.0,62.0,55.5,35.0,61.375
I7,0.003448100169255694,0.02520345668108792,0.0,0.07233605772489682,73.0,54.0,55.5,64.0,61.625
D6,0.016871493738162522,0.0032533565174426293,0.0,0.012364479989628308,26.0,84.0,55.5,88.0,63.375
P1,0.0005021033568206973,0.02209613961955892,0.0,0.09243233082816005,92.0,63.0,55.5,48.0,64.625
V4,0.0017884372158691463,0.013625596327106138,0.0,0.09246011890354566,84.0,74.0,55.5,47.0,65.125
M16,0.005598678954534746,0.018902700376628,0.0,0.022929336642846465,59.0,68.0,55.5,80.0,65.625
E14,0.001474166757905322,0.006389870526700037,0.0,0.10391044512653025,87.0,82.0,55.5,39.0,65.875
D7,0.010912334548058886,0.002007685755237576,0.0,0.017727244965499267,38.0,87.0,55.5,84.0,66.125
D5,0.016709180882220787,0.0,0.0,0.005880369018996134,28.0,92.0,55.5,92.0,66.875
V11,0.006799436675640795,0.013540699494288155,0.0,0.01251262499135919,50.0,75.0,55.5,87.0,66.875
M14,0.00423674547656236,0.014725993617732414,0.0,0.019812472477497067,68.0,73.0,55.5,82.0,69.625
D3,0.005898333355462486,0.0003827696175406903,0.0,0.0007852969865780324,57.0,89.0,55.5,94.0,73.875
D9,0.0008369503112676457,0.0030934791247054783,0.0,0.010783766076201573,91.0,85.0,55.5,89.0,80.125
